	Chr	Pos	PhyloP	Strand	EnsemblID
301	chr6	24667563	0.069000	+	ENSG00000112304
302	chr6	24667564	1.583000	+	ENSG00000112304
303	chr6	24667565	0.559000	+	ENSG00000112304
304	chr6	24667566	1.539000	+	ENSG00000112304
305	chr6	24667567	1.411000	+	ENSG00000112304
306	chr6	24667568	0.343000	+	ENSG00000112304
307	chr6	24667569	4.382000	+	ENSG00000112304
308	chr6	24667570	4.382000	+	ENSG00000112304
309	chr6	24667571	4.622000	+	ENSG00000112304
310	chr6	24667572	4.622000	+	ENSG00000112304
311	chr6	24687629	0.143000	+	ENSG00000112304
312	chr6	24687630	1.244000	+	ENSG00000112304
313	chr6	24687631	-0.493000	+	ENSG00000112304
314	chr6	24687632	1.084000	+	ENSG00000112304
315	chr6	24687633	1.244000	+	ENSG00000112304
316	chr6	24687634	1.244000	+	ENSG00000112304
317	chr6	24687635	-0.208000	+	ENSG00000112304
318	chr6	24687636	0.276000	+	ENSG00000112304
319	chr6	24687637	0.158000	+	ENSG00000112304
320	chr6	24687638	1.307000	+	ENSG00000112304
321	chr6	24687639	1.084000	+	ENSG00000112304
322	chr6	24687640	0.290000	+	ENSG00000112304
323	chr6	24687641	-0.350000	+	ENSG00000112304
324	chr6	24687642	1.244000	+	ENSG00000112304
325	chr6	24687643	-0.060000	+	ENSG00000112304
326	chr6	24687644	-0.462000	+	ENSG00000112304
327	chr6	24687645	-1.261000	+	ENSG00000112304
328	chr6	24687646	1.244000	+	ENSG00000112304
329	chr6	24687647	-0.663000	+	ENSG00000112304
330	chr6	24687648	1.244000	+	ENSG00000112304
331	chr6	24687649	0.162000	+	ENSG00000112304
332	chr6	24687650	0.281000	+	ENSG00000112304
333	chr6	24687651	-0.255000	+	ENSG00000112304
334	chr6	24687652	-1.834000	+	ENSG00000112304
335	chr6	24687653	0.163000	+	ENSG00000112304
336	chr6	24687654	-0.231000	+	ENSG00000112304
337	chr6	24687655	0.092000	+	ENSG00000112304
338	chr6	24687656	1.307000	+	ENSG00000112304
339	chr6	24687657	0.315000	+	ENSG00000112304
340	chr6	24687658	1.244000	+	ENSG00000112304
341	chr6	24687659	-1.059000	+	ENSG00000112304
342	chr6	24687660	0.154000	+	ENSG00000112304
343	chr6	24687661	0.144000	+	ENSG00000112304
344	chr6	24687662	1.084000	+	ENSG00000112304
345	chr6	24687663	-0.207000	+	ENSG00000112304
346	chr6	24687664	1.244000	+	ENSG00000112304
347	chr6	24687665	0.263000	+	ENSG00000112304
348	chr6	24687666	-0.092000	+	ENSG00000112304
349	chr6	24687667	0.161000	+	ENSG00000112304
350	chr6	24687668	1.307000	+	ENSG00000112304
351	chr6	24687669	0.223000	+	ENSG00000112304
352	chr6	24687670	-0.924000	+	ENSG00000112304
353	chr6	24687671	1.081000	+	ENSG00000112304
354	chr6	24687672	-0.165000	+	ENSG00000112304
355	chr6	24687673	1.134000	+	ENSG00000112304
356	chr6	24687674	0.925000	+	ENSG00000112304
357	chr6	24687675	0.145000	+	ENSG00000112304
358	chr6	24687676	0.925000	+	ENSG00000112304
359	chr6	24687677	0.068000	+	ENSG00000112304
360	chr6	24687678	1.134000	+	ENSG00000112304
361	chr6	24687679	-0.240000	+	ENSG00000112304
362	chr6	24687680	-0.156000	+	ENSG00000112304
363	chr6	24687681	0.049000	+	ENSG00000112304
364	chr6	24687682	0.061000	+	ENSG00000112304
365	chr6	24687683	0.067000	+	ENSG00000112304
366	chr6	24687684	0.114000	+	ENSG00000112304
367	chr6	24687685	1.253000	+	ENSG00000112304
368	chr6	24687686	-0.131000	+	ENSG00000112304
369	chr6	24687687	-0.244000	+	ENSG00000112304
370	chr6	24687688	1.019000	+	ENSG00000112304
371	chr6	24687689	0.137000	+	ENSG00000112304
372	chr6	24687690	0.258000	+	ENSG00000112304
373	chr6	24687691	0.275000	+	ENSG00000112304
374	chr6	24687692	1.194000	+	ENSG00000112304
375	chr6	24687693	0.240000	+	ENSG00000112304
376	chr6	24687694	0.189000	+	ENSG00000112304
377	chr6	24687695	-0.198000	+	ENSG00000112304
378	chr6	24687696	-0.077000	+	ENSG00000112304
379	chr6	24687697	1.061000	+	ENSG00000112304
380	chr6	24687698	-0.231000	+	ENSG00000112304
381	chr6	24687699	0.282000	+	ENSG00000112304
382	chr6	24687700	0.159000	+	ENSG00000112304
383	chr6	24687701	0.322000	+	ENSG00000112304
384	chr6	24687702	1.084000	+	ENSG00000112304
385	chr6	24687703	-0.400000	+	ENSG00000112304
386	chr6	24687704	-0.052000	+	ENSG00000112304
387	chr6	24687705	1.244000	+	ENSG00000112304
388	chr6	24687706	-1.742000	+	ENSG00000112304
389	chr6	24687707	-0.202000	+	ENSG00000112304
390	chr6	24687708	1.061000	+	ENSG00000112304
391	chr6	24687709	0.150000	+	ENSG00000112304
392	chr6	24687710	1.244000	+	ENSG00000112304
393	chr6	24687711	0.276000	+	ENSG00000112304
394	chr6	24687712	-0.741000	+	ENSG00000112304
395	chr6	24687713	0.269000	+	ENSG00000112304
396	chr6	24687714	-0.191000	+	ENSG00000112304
397	chr6	24687715	-0.247000	+	ENSG00000112304
398	chr6	24687716	0.860000	+	ENSG00000112304
399	chr6	24687717	-0.268000	+	ENSG00000112304
400	chr6	24687718	0.021000	+	ENSG00000112304
401	chr6	24687719	1.244000	+	ENSG00000112304
402	chr6	24687720	1.307000	+	ENSG00000112304
403	chr6	24687721	1.244000	+	ENSG00000112304
404	chr6	24687722	1.244000	+	ENSG00000112304
405	chr6	24687723	1.244000	+	ENSG00000112304
406	chr6	24687724	0.162000	+	ENSG00000112304
407	chr6	24687725	1.244000	+	ENSG00000112304
408	chr6	24687726	1.244000	+	ENSG00000112304
409	chr6	24687727	0.315000	+	ENSG00000112304
410	chr6	24687728	1.307000	+	ENSG00000112304
411	chr6	24687729	0.276000	+	ENSG00000112304
412	chr6	24687730	-0.127000	+	ENSG00000112304
413	chr6	24687731	-0.052000	+	ENSG00000112304
414	chr6	24687732	0.173000	+	ENSG00000112304
415	chr6	24687733	-0.081000	+	ENSG00000112304
416	chr6	24687734	0.240000	+	ENSG00000112304
417	chr6	24687735	1.194000	+	ENSG00000112304
418	chr6	24687736	0.258000	+	ENSG00000112304
419	chr6	24687737	0.113000	+	ENSG00000112304
420	chr6	24687738	0.167000	+	ENSG00000112304
421	chr6	24687739	0.140000	+	ENSG00000112304
422	chr6	24687740	-1.389000	+	ENSG00000112304
423	chr6	24687741	-0.073000	+	ENSG00000112304
424	chr6	24687742	1.244000	+	ENSG00000112304
425	chr6	24687743	1.244000	+	ENSG00000112304
426	chr6	24687744	0.325000	+	ENSG00000112304
427	chr6	24687745	-0.658000	+	ENSG00000112304
428	chr6	24687746	-1.819000	+	ENSG00000112304
429	chr6	24687747	1.244000	+	ENSG00000112304
430	chr6	24687748	-0.043000	+	ENSG00000112304
431	chr6	24687749	0.315000	+	ENSG00000112304
432	chr6	24687750	0.156000	+	ENSG00000112304
433	chr6	24687751	0.238000	+	ENSG00000112304
434	chr6	24687752	1.233000	+	ENSG00000112304
435	chr6	24687753	1.244000	+	ENSG00000112304
436	chr6	24687754	-0.054000	+	ENSG00000112304
437	chr6	24687755	0.147000	+	ENSG00000112304
438	chr6	24687756	-1.011000	+	ENSG00000112304
439	chr6	24687757	0.953000	+	ENSG00000112304
440	chr6	24687758	-2.397000	+	ENSG00000112304
441	chr6	24687759	-1.633000	+	ENSG00000112304
442	chr6	24687760	0.965000	+	ENSG00000112304
443	chr6	24687761	0.322000	+	ENSG00000112304
444	chr6	24687762	0.167000	+	ENSG00000112304
445	chr6	24687763	1.061000	+	ENSG00000112304
446	chr6	24687764	1.160000	+	ENSG00000112304
447	chr6	24687765	1.012000	+	ENSG00000112304
448	chr6	24687766	0.990000	+	ENSG00000112304
449	chr6	24687767	0.104000	+	ENSG00000112304
450	chr6	24687768	1.084000	+	ENSG00000112304
451	chr6	24687769	0.134000	+	ENSG00000112304
452	chr6	24687770	-0.118000	+	ENSG00000112304
453	chr6	24687771	-0.195000	+	ENSG00000112304
454	chr6	24687772	0.309000	+	ENSG00000112304
455	chr6	24687773	0.300000	+	ENSG00000112304
456	chr6	24687774	1.244000	+	ENSG00000112304
457	chr6	24687775	1.244000	+	ENSG00000112304
458	chr6	24687776	1.244000	+	ENSG00000112304
459	chr6	24687777	0.147000	+	ENSG00000112304
460	chr6	24687778	0.300000	+	ENSG00000112304
461	chr6	24687779	1.244000	+	ENSG00000112304
462	chr6	24687780	0.322000	+	ENSG00000112304
463	chr6	24687781	0.241000	+	ENSG00000112304
464	chr6	24687782	-0.187000	+	ENSG00000112304
465	chr6	24687783	0.113000	+	ENSG00000112304
466	chr6	24687784	0.141000	+	ENSG00000112304
467	chr6	24687785	0.263000	+	ENSG00000112304
468	chr6	24687786	1.181000	+	ENSG00000112304
469	chr6	24687787	0.211000	+	ENSG00000112304
470	chr6	24687788	0.215000	+	ENSG00000112304
471	chr6	24687789	0.205000	+	ENSG00000112304
472	chr6	24687790	1.012000	+	ENSG00000112304
473	chr6	24687791	-0.052000	+	ENSG00000112304
474	chr6	24687792	0.160000	+	ENSG00000112304
475	chr6	24687793	-1.151000	+	ENSG00000112304
476	chr6	24687794	0.167000	+	ENSG00000112304
477	chr6	24687795	1.244000	+	ENSG00000112304
478	chr6	24687796	-0.130000	+	ENSG00000112304
479	chr6	24687797	0.282000	+	ENSG00000112304
480	chr6	24687798	0.154000	+	ENSG00000112304
481	chr6	24687799	0.286000	+	ENSG00000112304
482	chr6	24687800	1.244000	+	ENSG00000112304
483	chr6	24687801	-0.084000	+	ENSG00000112304
484	chr6	24687802	1.084000	+	ENSG00000112304
485	chr6	24687803	0.316000	+	ENSG00000112304
486	chr6	24687804	1.244000	+	ENSG00000112304
487	chr6	24687805	0.300000	+	ENSG00000112304
488	chr6	24687806	-0.609000	+	ENSG00000112304
489	chr6	24687807	1.084000	+	ENSG00000112304
490	chr6	24687808	-0.409000	+	ENSG00000112304
491	chr6	24687809	0.159000	+	ENSG00000112304
492	chr6	24687810	0.157000	+	ENSG00000112304
493	chr6	24687811	0.277000	+	ENSG00000112304
494	chr6	24687812	1.244000	+	ENSG00000112304
495	chr6	24687813	1.307000	+	ENSG00000112304
496	chr6	24687814	1.244000	+	ENSG00000112304
497	chr6	24687815	1.307000	+	ENSG00000112304
498	chr6	24687816	-0.075000	+	ENSG00000112304
499	chr6	24687817	1.244000	+	ENSG00000112304
500	chr6	24687818	-0.626000	+	ENSG00000112304
501	chr6	24687819	-0.061000	+	ENSG00000112304
502	chr6	24687820	1.244000	+	ENSG00000112304
503	chr6	24687821	0.191000	+	ENSG00000112304
504	chr6	24687822	0.084000	+	ENSG00000112304
505	chr6	24687823	1.244000	+	ENSG00000112304
506	chr6	24687824	-0.216000	+	ENSG00000112304
507	chr6	24687825	1.193000	+	ENSG00000112304
508	chr6	24687826	0.121000	+	ENSG00000112304
509	chr6	24687827	-0.278000	+	ENSG00000112304
510	chr6	24687828	0.228000	+	ENSG00000112304
511	chr6	24687829	0.203000	+	ENSG00000112304
512	chr6	24687830	0.244000	+	ENSG00000112304
513	chr6	24687831	1.307000	+	ENSG00000112304
514	chr6	24687832	1.244000	+	ENSG00000112304
515	chr6	24687833	1.307000	+	ENSG00000112304
516	chr6	24687834	0.277000	+	ENSG00000112304
517	chr6	24687835	1.244000	+	ENSG00000112304
518	chr6	24687836	-0.481000	+	ENSG00000112304
519	chr6	24687837	-0.750000	+	ENSG00000112304
520	chr6	24687838	-0.070000	+	ENSG00000112304
521	chr6	24687839	-0.615000	+	ENSG00000112304
522	chr6	24687840	0.153000	+	ENSG00000112304
523	chr6	24687841	-0.447000	+	ENSG00000112304
524	chr6	24687842	0.259000	+	ENSG00000112304
525	chr6	24687843	0.297000	+	ENSG00000112304
