	Ensembl Gene ID	Chromosome Name	Gene Start (bp)	Gene End (bp)	Ensembl Protein Family ID(s)	Associated Gene Name
26	ENSG00000182974	15	22368478	22369561	ENSFM00740001589220	OR4M2
27	ENSG00000260770	HG185_PATCH	40173272	40181893	ENSFM00250000003149	NKIRAS2
28	ENSG00000183706	15	22382382	22383507	ENSFM00740001589220	OR4N4
29	ENSG00000270505	15	22448382	22448819	ENSFM00670001235685	IGHV1OR15-1
30	ENSG00000259261	15	22472918	22473353	ENSFM00670001235643	IGHV4OR15-8
31	ENSG00000155304	21	15743436	15755805	ENSFM00730001522410	HSPA13
32	ENSG00000260320	HG185_PATCH	40181828	40219330	ENSFM00250000001367	ZNF385C
33	ENSG00000197414	15	22736246	22746002	ENSFM00500000278084	GOLGA6L1
34	ENSG00000260178	HG185_PATCH	40257656	40268985	ENSFM00250000001740	DHX58
35	ENSG00000166200	15	49398268	49447858	ENSFM00250000004729	COPS2
36	ENSG00000155307	21	15857549	15955723	ENSFM00600000921213	SAMSN1
37	ENSG00000259958	HG185_PATCH	40269360	40277610	ENSFM00730001522111	KAT2A
38	ENSG00000260325	HG185_PATCH	40277683	40279604	ENSFM00670001236974	HSPB9
39	ENSG00000261378	HG185_PATCH	40281228	40311269	ENSFM00500000269759	RAB5C
40	ENSG00000153575	15	22833395	22873892	ENSFM00250000006194	TUBGCP5
41	ENSG00000261371	HG183_PATCH	62399863	62491136	ENSFM00250000003457	PECAM1
42	ENSG00000137880	15	41056218	41059906	ENSFM00670001237036	GCHFR
43	ENSG00000262917	HG183_PATCH	62555145	62574426	ENSFM00250000007196	POLG2
44	ENSG00000104129	15	41060067	41099675	ENSFM00250000003816	DNAJC17
45	ENSG00000177150	18	13663346	13726662	ENSFM00250000007801	FAM210A
46	ENSG00000155313	21	17102344	17252377	ENSFM00250000001440	USP25
47	ENSG00000263077	HG183_PATCH	62576980	62585072	ENSFM00420000140507	DDX5
48	ENSG00000101638	18	44259081	44339220	ENSFM00480000262754	ST8SIA5
49	ENSG00000263046	HG183_PATCH	62584096	62615309	ENSFM00250000007332	CEP95
50	ENSG00000154639	21	18884700	18965897	ENSFM00500000271078	CXADR
51	ENSG00000101654	18	13726659	13764557	ENSFM00250000004534	RNMT
52	ENSG00000261074	HG998_1_PATCH	139098179	139137687	ENSFM00250000001659	QSOX2
53	ENSG00000078043	18	44388353	44500123	ENSFM00250000000995	PIAS2
54	ENSG00000156958	15	49447853	49660066	ENSFM00250000002950	GALK2
55	ENSG00000154640	21	18965971	18985265	ENSFM00670001235700	BTG3
56	ENSG00000249139	20	44165625	44176065	ENSFM00500000274753	EPPIN-WFDC6
57	ENSG00000260587	HG186_PATCH	50712672	51421329	ENSFM00250000000526	DOCK3
58	ENSG00000259880	HG186_PATCH	51422478	51426828	ENSFM00670001235628	MANF
59	ENSG00000158901	20	44179792	44207965	ENSFM00250000009622	WFDC8
60	ENSG00000140416	15	63334831	63364114	ENSFM00250000000220	TPM1
61	ENSG00000259956	HG186_PATCH	51428699	51435339	ENSFM00250000002942	RBM15B
62	ENSG00000154642	21	19161284	19191703	ENSFM00250000006466	C21orf91
63	ENSG00000260383	HG243_PATCH	145202919	145316830	ENSFM00560000771043	MROH1
64	ENSG00000261236	HG243_PATCH	145317005	145346273	ENSFM00250000004107	BOP1
65	ENSG00000166140	15	41099284	41106767	ENSFM00250000005386	ZFYVE19
66	ENSG00000101138	20	54967427	54979518	ENSFM00250000004812	CSTF1
67	ENSG00000154645	21	19273580	19639690	ENSFM00250000002787	CHODL
68	ENSG00000260623	HG186_PATCH	51433298	51537425	ENSFM00250000003133	VPRBP
69	ENSG00000260428	HG243_PATCH	145321463	145323384	ENSFM00500000274532	SCXA
70	ENSG00000180305	20	44258165	44259835	ENSFM00570000857064	WFDC10A
71	ENSG00000068793	15	22892005	23006016	ENSFM00250000001390	CYFIP1
72	ENSG00000154646	21	19641433	19858197	ENSFM00500000271458	TMPRSS15
73	ENSG00000149651	20	44350990	44354469	ENSFM00670001240051	SPINT4
74	ENSG00000261132	HG243_PATCH	145346494	145369625	ENSFM00500000270194	HSF1
75	ENSG00000261443	HG186_PATCH	51579011	51701025	ENSFM00420000140552	RAD54L2
76	ENSG00000101365	20	2639041	2644865	ENSFM00730001521307	IDH3B
77	ENSG00000167216	18	44497455	44627658	ENSFM00720001492030	KATNAL2
78	ENSG00000124116	20	44376583	44420571	ENSFM00500000274531	WFDC3
79	ENSG00000087589	20	54987168	55034396	ENSFM00500000271135	CASS4
80	ENSG00000154654	21	22370633	22915650	ENSFM00250000000779	NCAM2
81	ENSG00000166143	15	41107650	41120907	ENSFM00600000921925	PPP1R14D
82	ENSG00000261698	HG243_PATCH	145371194	145381813	ENSFM00500000270667	DGAT1
83	ENSG00000176136	18	13824154	13826861	ENSFM00730001521404	MC5R
84	ENSG00000185231	18	13882043	13915706	ENSFM00730001521404	MC2R
85	ENSG00000103642	15	63413999	63434260	ENSFM00250000007515	LACTB
86	ENSG00000197299	15	91260558	91358859	ENSFM00740001589153	BLM
87	ENSG00000154719	21	26957968	26979829	ENSFM00250000006573	MRPL39
88	ENSG00000261678	HG243_PATCH	145387965	145391184	ENSFM00500000271051	SCRT1
89	ENSG00000175322	18	14057456	14132489	ENSFM00250000000002	ZNF519
90	ENSG00000101160	20	57570240	57582302	ENSFM00260000050844	CTSZ
91	ENSG00000022277	20	55043647	55093943	ENSFM00250000004109	RTFDC1
92	ENSG00000166145	15	41136216	41150405	ENSFM00500000271220	SPINT1
93	ENSG00000088881	20	2673524	2740753	ENSFM00250000000890	EBF4
94	ENSG00000101162	20	57594309	57601709	ENSFM00250000000193	TUBB1
95	ENSG00000140285	15	49715293	49780972	ENSFM00500000271676	FGF7
96	ENSG00000183206	18	14507338	14543584	ENSFM00570000851034	POTEC
97	ENSG00000266996	18	44542731	44544607	ENSFM00250000003294	TCEB3CL2
98	ENSG00000154721	21	27011584	27089874	ENSFM00500000272329	JAM2
99	ENSG00000261042	HG243_PATCH	145409038	145416175	ENSFM00250000002271	SLC52A2
100	ENSG00000124172	20	57600522	57607437	ENSFM00500000293931	ATP5E
101	ENSG00000234298	18	44548658	44550534	ENSFM00250000003294	TCEB3CL
102	ENSG00000185088	15	63418071	63450220	ENSFM00670001235597	RPS27L
103	ENSG00000183791	18	44554573	44556449	ENSFM00250000003294	TCEB3C
104	ENSG00000206181	18	44558943	44561988	ENSFM00250000003294	TCEB3B
105	ENSG00000170122	9	116237	118417	ENSFM00500000272558	FOXD4
106	ENSG00000166128	15	63481668	63559981	ENSFM00730001521184	RAB8B
107	ENSG00000175063	20	44441215	44445596	ENSFM00670001235510	UBE2C
108	ENSG00000124091	20	55066548	55100981	ENSFM00740001589338	GCNT7
109	ENSG00000101166	20	57608200	57617964	ENSFM00500000270508	SLMO2
110	ENSG00000261539	HG243_PATCH	145410334	145414279	ENSFM00280000058829	FBXL6
111	ENSG00000167220	18	44633774	44676891	ENSFM00500000271192	HDHD2
112	ENSG00000154723	21	27088815	27107984	ENSFM00670001236072	ATP5J
113	ENSG00000171448	9	125677845	125693779	ENSFM00600000921332	ZBTB26
114	ENSG00000104047	15	49913177	49937333	ENSFM00250000006016	DTWD1
115	ENSG00000088882	20	2774715	2781283	ENSFM00730001522041	CPXM1
116	ENSG00000104140	15	41164412	41166487	ENSFM00730001521953	RHOV
117	ENSG00000140564	15	91411822	91426688	ENSFM00250000000295	FURIN
118	ENSG00000140157	15	23004684	23034427	ENSFM00730001521603	NIPA2
119	ENSG00000267228	18	44661027	44702652	ENSFM00670001237881	IER3IP1
120	ENSG00000261694	HG243_PATCH	145428004	145448145	ENSFM00730001522023	ADCK5
121	ENSG00000154727	21	27106881	27144771	ENSFM00400000131880	GABPA
122	ENSG00000087510	20	55204358	55214339	ENSFM00250000001076	TFAP2C
123	ENSG00000124203	20	57766075	57834168	ENSFM00250000011817	ZNF831
124	ENSG00000101470	20	44451853	44462384	ENSFM00670001235601	TNNC2
125	ENSG00000104142	15	41186628	41196173	ENSFM00250000004354	VPS18
126	ENSG00000138613	15	63568217	63601325	ENSFM00250000003757	APH1B
127	ENSG00000011454	9	125703112	125867145	ENSFM00500000269829	RABGAP1
128	ENSG00000134049	18	44681413	44702745	ENSFM00670001237881	IER3IP1
129	ENSG00000124205	20	57875482	57901047	ENSFM00500000273520	EDN3
130	ENSG00000128917	15	41221538	41231237	ENSFM00570000851057	DLL4
131	ENSG00000180777	18	14728271	14852737	ENSFM00570000851034	ANKRD30B
132	ENSG00000101144	20	55743804	55841685	ENSFM00440000236850	BMP7
133	ENSG00000215474	18	44746293	44775554	ENSFM00250000004318	SKOR2
134	ENSG00000261230	HG243_PATCH	145448132	145464191	ENSFM00750001632356	CPSF1
135	ENSG00000188394	9	125796806	125797975	ENSFM00430000230215	GPR21
136	ENSG00000172785	9	121041	188979	ENSFM00250000002195	CBWD1
137	ENSG00000175387	18	45357922	45457515	ENSFM00750001632351	SMAD2
138	ENSG00000104043	15	50150435	50475014	ENSFM00730001521445	ATP8B4
139	ENSG00000165209	9	125871779	126030855	ENSFM00730001521954	STRBP
140	ENSG00000261297	HG243_PATCH	145464645	145471798	ENSFM00600000921321	SLC39A4
141	ENSG00000182511	15	91426925	91439006	ENSFM00260000050392	FES
142	ENSG00000170113	15	23043277	23100005	ENSFM00730001521603	NIPA1
143	ENSG00000054796	20	55904815	55919050	ENSFM00250000004816	SPO11
144	ENSG00000074410	15	63613577	63674360	ENSFM00670001235433	CA12
145	ENSG00000087495	20	58152564	58422766	ENSFM00740001589138	PHACTR3
146	ENSG00000067900	18	18526867	18691812	ENSFM00730001521800	ROCK1
147	ENSG00000128965	15	41245160	41248710	ENSFM00500000272222	CHAC1
148	ENSG00000260313	HG243_PATCH	145478520	145483451	ENSFM00500000271517	VPS28
149	ENSG00000124104	20	44462449	44471914	ENSFM00250000006148	SNX21
150	ENSG00000260716	HG243_PATCH	145483685	145499347	ENSFM00250000004206	TONSL
151	ENSG00000148204	9	126118449	126142603	ENSFM00740001589260	CRB2
152	ENSG00000101146	20	55926066	55954267	ENSFM00500000270163	RAE1
153	ENSG00000215305	20	2821349	2847378	ENSFM00250000004293	VPS16
154	ENSG00000261772	HG858_PATCH	116765	228460	ENSFM00250000001463	IQSEC3
155	ENSG00000142192	21	27252861	27543446	ENSFM00250000000617	APP
156	ENSG00000101473	20	44470360	44486045	ENSFM00500000271864	ACOT8
157	ENSG00000128908	15	41271078	41408552	ENSFM00540000717958	INO80
158	ENSG00000140284	15	50474393	50528592	ENSFM00730001521711	SLC27A2
159	ENSG00000198033	13	19747910	19755992	ENSFM00250000000217	TUBA3C
160	ENSG00000132819	20	55966463	55984389	ENSFM00250000001992	RBM38
161	ENSG00000107099	9	214854	465259	ENSFM00500000269778	DOCK8
162	ENSG00000119522	9	126141933	126692431	ENSFM00250000001555	DENND1A
163	ENSG00000141449	18	18822203	19105378	ENSFM00250000001396	GREB1L
164	ENSG00000166265	21	27838528	27945603	ENSFM00600000921791	CYYR1
165	ENSG00000140287	15	50534144	50558223	ENSFM00250000000145	HDC
166	ENSG00000132958	13	19997017	20110903	ENSFM00380000124724	TPTE2
167	ENSG00000140455	15	63796793	63886839	ENSFM00500000270776	USP3
168	ENSG00000184828	18	45553044	45937123	ENSFM00500000273708	ZBTB7C
169	ENSG00000154734	21	28208066	28217728	ENSFM00730001521602	ADAMTS1
170	ENSG00000106689	9	126763949	126795580	ENSFM00500000269930	LHX2
171	ENSG00000259455	15	23405069	23414193	ENSFM00500000278084	RP11-467N20.5
172	ENSG00000154736	21	28290231	28338832	ENSFM00730001521602	ADAMTS5
173	ENSG00000196199	13	20207788	20247599	ENSFM00250000006145	MPHOSPH8
174	ENSG00000231825	HSCHR6_MHC_SSTO	31578395	31595492	ENSFM00740001589307	PRRC2A
175	ENSG00000178997	15	41474923	41522941	ENSFM00250000008724	EXD1
176	ENSG00000156239	21	30244513	30257693	ENSFM00250000004305	N6AMT1
177	ENSG00000196547	15	91445448	91465814	ENSFM00500000270074	MAN2A2
178	ENSG00000107104	9	470291	746105	ENSFM00670001235382	KANK1
179	ENSG00000121390	13	20248896	20357142	ENSFM00250000000671	PSPC1
180	ENSG00000174450	15	23684645	23692381	ENSFM00500000278084	GOLGA6L2
181	ENSG00000119408	9	127019885	127115586	ENSFM00480000262772	NEK6
182	ENSG00000137090	9	841690	969090	ENSFM00670001235555	DMRT1
183	ENSG00000104064	15	50569389	50647605	ENSFM00250000002282	GABPB1
184	ENSG00000179455	15	23810454	23873064	ENSFM00250000001186	MKRN3
185	ENSG00000134030	18	46065417	46389588	ENSFM00250000007597	CTIF
186	ENSG00000064218	9	976964	991731	ENSFM00440000237000	DMRT3
187	ENSG00000132950	13	20397622	20437776	ENSFM00500000269725	ZMYM5
188	ENSG00000128322	22	23915312	23922495	ENSFM00670001235428	IGLL1
189	ENSG00000198862	21	30300466	30365270	ENSFM00500000271005	LTN1
190	ENSG00000254585	15	23888691	23891175	ENSFM00500000269827	MAGEL2
191	ENSG00000182636	15	23930565	23932450	ENSFM00500000274583	NDN
192	ENSG00000132801	20	44486256	44507761	ENSFM00500000273648	ZSWIM3
193	ENSG00000136930	9	127115745	127177723	ENSFM00440000236883	PSMB7
194	ENSG00000173253	9	1050354	1057552	ENSFM00500000271166	DMRT2
195	ENSG00000168612	20	44509866	44513905	ENSFM00500000275059	ZSWIM1
196	ENSG00000124092	20	56071035	56100708	ENSFM00350000105473	CTCFL
197	ENSG00000187446	15	41523037	41574043	ENSFM00500000270459	CHP1
198	ENSG00000261921	HG325_PATCH	50355222	50360338	ENSFM00250000000550	HYAL2
199	ENSG00000260384	HG989_PATCH	31882412	31907525	ENSFM00250000000772	SERINC2
200	ENSG00000124257	20	44517264	44519926	ENSFM00250000006036	NEURL2
201	ENSG00000180264	9	127213423	127239379	ENSFM00440000237086	GPR144
202	ENSG00000156253	21	30376705	30391699	ENSFM00500000271925	RWDD2B
203	ENSG00000262860	HSCHR19_1_CTG3_1	34663352	34720227	ENSFM00600000921232	LSM14A
204	ENSG00000136931	9	127243516	127269709	ENSFM00250000000579	NR5A1
205	ENSG00000101665	18	46446223	46477081	ENSFM00260000050525	SMAD7
206	ENSG00000132670	20	2844830	3019722	ENSFM00740001589127	PTPRA
207	ENSG00000132825	20	58511894	58515352	ENSFM00500000274906	PPP1R3D
208	ENSG00000236227	HSCHR6_MHC_MCF	32969905	32980956	ENSFM00250000000651	BRD2
209	ENSG00000128739	15	25068794	25223870	ENSFM00500000270513	SNRPN
210	ENSG00000260130	HG19_PATCH	1993155	2113475	ENSFM00260000050477	MYOM2
211	ENSG00000148200	9	127279554	127533589	ENSFM00260000051013	NR6A1
212	ENSG00000124215	20	58533471	58609066	ENSFM00730001521172	CDH26
213	ENSG00000159496	22	24030323	24041363	ENSFM00690001356594	RGL4
214	ENSG00000064601	20	44518783	44527459	ENSFM00500000270084	CTSA
215	ENSG00000185585	9	127539437	127577164	ENSFM00600000921295	OLFML2A
216	ENSG00000156256	21	30396950	30426809	ENSFM00600000921259	USP16
217	ENSG00000267483	HG748_PATCH	77085427	77512230	ENSFM00250000000843	RBFOX3
218	ENSG00000121741	13	20532810	20665968	ENSFM00500000269725	ZMYM2
219	ENSG00000197361	15	63889552	63894627	ENSFM00250000007954	FBXL22
220	ENSG00000136918	9	127615755	127620160	ENSFM00500000273540	WDR38
221	ENSG00000261981	HG748_PATCH	77727001	77738304	ENSFM00730001521747	ENPP7
222	ENSG00000080503	9	2015342	2193624	ENSFM00750001632331	SMARCA2
223	ENSG00000136942	9	127620159	127624260	ENSFM00500000271690	RPL35
224	ENSG00000230141	HSCHR6_MHC_MCF	33005421	33010855	ENSFM00730001521250	HLA-DOA
225	ENSG00000263005	HG325_PATCH	50367220	50378412	ENSFM00250000001616	RASSF1
226	ENSG00000262762	HG748_PATCH	77774214	77784065	ENSFM00300000079200	CBX2
227	ENSG00000136950	9	127624409	127640003	ENSFM00500000270526	ARPC5L
228	ENSG00000262572	HG748_PATCH	77788214	77797765	ENSFM00560000771364	CBX8
229	ENSG00000187792	22	24083769	24093279	ENSFM00250000000002	ZNF70
230	ENSG00000167088	18	19192228	19210417	ENSFM00670001236052	SNRPD1
231	ENSG00000128218	22	24094930	24096655	ENSFM00500000277219	VPREB3
232	ENSG00000138592	15	50716577	50793280	ENSFM00730001521839	USP8
233	ENSG00000179242	20	59827482	60515673	ENSFM00730001521172	CDH4
234	ENSG00000260355	HG14_PATCH	57517884	57541253	ENSFM00250000000002	ZNF716
235	ENSG00000136935	9	127640646	127710771	ENSFM00250000006913	GOLGA1
236	ENSG00000169314	22	24105208	24108048	ENSFM00680001303832	C22orf15
237	ENSG00000173281	8	8993765	9009084	ENSFM00500000270614	PPP1R3B
238	ENSG00000262505	HSCHR4_1_CTG12	156750881	156787425	ENSFM00750001632527	ASIC5
239	ENSG00000103657	15	63900817	64126141	ENSFM00740001589186	HERC1
240	ENSG00000158201	18	19230858	19284766	ENSFM00500000270392	ABHD3
241	ENSG00000262635	HSCHR4_1_CTG12	156775890	156841558	ENSFM00250000002324	TDO2
242	ENSG00000168384	HSCHR6_MHC_MCF	33065822	33082016	ENSFM00730001521438	HLA-DPA1
243	ENSG00000250479	22	24108021	24110630	ENSFM00600000922161	CHCHD10
244	ENSG00000124253	20	56136136	56141513	ENSFM00730001521206	PCK1
245	ENSG00000121743	13	20712394	20735188	ENSFM00670001235281	GJA3
246	ENSG00000263238	HSCHR4_1_CTG12	156845270	156875063	ENSFM00500000273277	CTSO
247	ENSG00000141627	18	46570039	46987717	ENSFM00250000003776	DYM
248	ENSG00000165474	13	20761609	20767037	ENSFM00740001589167	GJB2
249	ENSG00000140553	15	91473410	91497323	ENSFM00250000002279	UNC45A
250	ENSG00000102309	X	71401203	71522776	ENSFM00670001235905	PIN4
251	ENSG00000099953	22	24110413	24126503	ENSFM00400000131720	MMP11
252	ENSG00000261923	HG873_PATCH	14665269	14892350	ENSFM00310000089029	PDE3B
253	ENSG00000121742	13	20796110	20806534	ENSFM00740001589167	GJB6
254	ENSG00000173611	9	127704887	127905785	ENSFM00250000003803	SCAI
255	ENSG00000156261	21	30428126	30446118	ENSFM00390000126336	CCT8
256	ENSG00000273173	15	25200133	25223729	ENSFM00620001000878	SNURF
257	ENSG00000173273	8	9413424	9639856	ENSFM00430000230153	TNKS
258	ENSG00000130699	20	60528525	60640866	ENSFM00740001589279	TAF4
259	ENSG00000147852	9	2621834	2660053	ENSFM00740001589117	VLDLR
260	ENSG00000186871	X	71424510	71458897	ENSFM00560000771020	ERCC6L
261	ENSG00000266074	HG271_PATCH	79369275	79440126	ENSFM00750001632417	BAHCC1
262	ENSG00000165475	13	20977806	21099996	ENSFM00250000003625	CRYL1
263	ENSG00000035664	15	64199235	64364232	ENSFM00730001521806	DAPK2
264	ENSG00000137806	15	41679551	41694717	ENSFM00250000005972	NDUFAF1
265	ENSG00000230763	HSCHR6_MHC_MCF	33077161	33088426	ENSFM00730001521173	HLA-DPB1
266	ENSG00000099956	22	24129150	24176703	ENSFM00500000270601	SMARCB1
267	ENSG00000198034	X	71475529	71497150	ENSFM00250000001458	RPS4X
268	ENSG00000262968	HG873_PATCH	14899553	14913798	ENSFM00400000131705	CYP2R1
269	ENSG00000125787	20	3024268	3026393	ENSFM00670001237968	GNRH2
270	ENSG00000119414	9	127908852	127952218	ENSFM00730001521263	PPP6C
271	ENSG00000137815	15	41700606	41775761	ENSFM00250000004554	RTF1
272	ENSG00000233348	HSCHR6_MHC_SSTO	31596744	31610423	ENSFM00250000003234	BAG6
273	ENSG00000101752	18	19284918	19450918	ENSFM00250000001057	MIB1
274	ENSG00000124256	20	56178902	56195632	ENSFM00250000007714	ZBP1
275	ENSG00000166797	15	64364758	64386217	ENSFM00500000273344	FAM96A
276	ENSG00000099958	22	24176690	24181315	ENSFM00500000270446	DERL3
277	ENSG00000168263	9	2717502	2730037	ENSFM00270000056440	KCNV2
278	ENSG00000215472	18	47008051	47017956	ENSFM00250000001117	RPL17-C18orf32
279	ENSG00000101405	20	3052266	3053163	ENSFM00670001235852	OXT
280	ENSG00000149657	20	60697517	60710434	ENSFM00600000921232	LSM14B
281	ENSG00000170236	15	50792759	50838905	ENSFM00730001521839	USP50
282	ENSG00000101200	20	3063202	3065370	ENSFM00670001235852	AVP
283	ENSG00000136933	9	127962821	127996437	ENSFM00250000006474	RABEPK
284	ENSG00000147535	8	38120648	38126761	ENSFM00500000270536	PPAPDC1B
285	ENSG00000267807	HG271_PATCH	79483771	79497647	ENSFM00730001521060	ACTG1
286	ENSG00000102100	X	48760459	48769235	ENSFM00250000001077	SLC35A2
287	ENSG00000080608	9	2720469	2844241	ENSFM00500000271210	KIAA0020
288	ENSG00000032742	13	21140585	21265503	ENSFM00250000004331	IFT88
289	ENSG00000044574	9	127997132	128003609	ENSFM00730001521396	HSPA5
290	ENSG00000214265	15	25200181	25245423	ENSFM00620001000878	SNURF
291	ENSG00000175806	8	9911778	10286401	ENSFM00500000271413	MSRA
292	ENSG00000172458	13	21276266	21297237	ENSFM00250000007894	IL17D
293	ENSG00000028528	15	64386322	64438289	ENSFM00730001521918	SNX1
294	ENSG00000133460	22	24198890	24228496	ENSFM00730001521261	SLC2A11
295	ENSG00000092439	15	50844670	50979012	ENSFM00730001521288	TRPM7
296	ENSG00000169762	4	16162128	16229033	ENSFM00500000271643	TAPT1
297	ENSG00000150456	13	21302870	21348097	ENSFM00500000272349	N6AMT2
298	ENSG00000265681	18	47014851	47018906	ENSFM00250000001117	RPL17
299	ENSG00000102096	X	48770459	48776301	ENSFM00460000244934	PIM2
300	ENSG00000101182	20	60711791	60718496	ENSFM00500000269875	PSMA7
301	ENSG00000114062	15	25582381	25684128	ENSFM00730001521254	UBE3A
302	ENSG00000156273	21	30566392	31003071	ENSFM00500000271800	BACH1
303	ENSG00000080298	9	3218297	3526004	ENSFM00660001157192	RFX3
304	ENSG00000100979	20	44527399	44540794	ENSFM00250000007352	PLTP
305	ENSG00000137825	15	41785591	41795747	ENSFM00250000001260	ITPKA
306	ENSG00000124227	20	56793551	56803709	ENSFM00250000010675	ANKRD60
307	ENSG00000132953	13	21351469	21477187	ENSFM00250000004431	XPO4
308	ENSG00000186416	X	118722300	118739858	ENSFM00250000006650	NKRF
309	ENSG00000185019	20	3088219	3140842	ENSFM00250000006384	UBOX5
310	ENSG00000068308	X	48779305	48815648	ENSFM00250000004105	OTUD5
311	ENSG00000123908	8	141541264	141645718	ENSFM00250000000492	AGO2
312	ENSG00000251357	22	24204375	24237410	ENSFM00730001521261	AP000350.10
313	ENSG00000187954	8	145674965	145691060	ENSFM00250000006029	CYHR1
314	ENSG00000125931	X	71521488	71527037	ENSFM00440000236996	CITED1
315	ENSG00000240972	22	24236191	24237414	ENSFM00670001235997	MIF
316	ENSG00000141448	18	19749404	19782491	ENSFM00730001521787	GATA6
317	ENSG00000215251	20	3127165	3140543	ENSFM00250000007561	FASTKD5
318	ENSG00000124224	20	56806188	56884495	ENSFM00250000002576	PPP4R1L
319	ENSG00000062524	15	41795836	41806085	ENSFM00730001521462	LTK
320	ENSG00000133433	22	24299601	24303373	ENSFM00500000270299	GSTT2B
321	ENSG00000107249	9	3824127	4348392	ENSFM00730001522092	GLIS3
322	ENSG00000262933	HG873_PATCH	14988217	14993851	ENSFM00670001236400	CALCA
323	ENSG00000150457	13	21547171	21635686	ENSFM00730001522007	LATS2
324	ENSG00000099974	22	24309089	24314721	ENSFM00670001236245	DDTL
325	ENSG00000184647	8	10383056	10411676	ENSFM00500000272864	PRSS55
326	ENSG00000198171	20	3170996	3185331	ENSFM00600000921555	DDRGK1
327	ENSG00000099977	22	24313554	24322660	ENSFM00670001236245	DDT
328	ENSG00000184402	20	60718822	60757540	ENSFM00600000921279	SS18L1
329	ENSG00000150459	13	21714653	21723221	ENSFM00670001235789	SAP18
330	ENSG00000145321	4	72607410	72669758	ENSFM00260000051351	GC
331	ENSG00000215750	GL000194.1	53590	56132	ENSFM00500000300965	AC145212.1
332	ENSG00000183638	8	10463859	10569697	ENSFM00400000132100	RP1L1
333	ENSG00000237375	GL000213.1	108007	139339	ENSFM00570000851034	BX072566.1
334	ENSG00000099984	22	24322339	24326106	ENSFM00500000270299	GSTT2
335	ENSG00000171189	21	30909254	31312351	ENSFM00720001492013	GRIK1
336	ENSG00000125877	20	3189514	3204516	ENSFM00670001235533	ITPA
337	ENSG00000165219	9	128024073	128129486	ENSFM00250000002127	GAPVD1
338	ENSG00000101670	18	47087069	47119272	ENSFM00400000131738	LIPG
339	ENSG00000171056	8	10581278	10697357	ENSFM00740001589478	SOX7
340	ENSG00000106688	9	4490444	4587469	ENSFM00250000000311	SLC1A1
341	ENSG00000172007	4	140374386	140397763	ENSFM00500000270315	RAB33B
342	ENSG00000184674	22	24376133	24384680	ENSFM00500000270299	GSTT1
343	ENSG00000258724	8	10582909	10697357	ENSFM00740001589478	SOX7
344	ENSG00000101773	18	20378224	20606451	ENSFM00250000007375	RBBP8
345	ENSG00000138600	15	50999506	51058005	ENSFM00250000002326	SPPL2A
346	ENSG00000184508	15	91474148	91475799	ENSFM00250000006266	HDDC3
347	ENSG00000124209	20	56884752	56942563	ENSFM00730001522125	RAB22A
348	ENSG00000235754	HSCHR6_MHC_SSTO	31610134	31615927	ENSFM00250000010730	APOM
349	ENSG00000147548	8	38127215	38239790	ENSFM00250000000687	WHSC1L1
